Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,vx (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
53,67.23424075,55.9128358,5.27747099,-0.299485951,0.025,0.036666667,0.013333333,2000,0.000534936,0.000534936,0.000534936,53_52:0.022205752631371006; 53_54:0.018527801394426946; 53_31:0.05513117721524166,53_52:1060; 53_54:660; 53_31:660
54,80.37255195,21.07337439,5.153545926,-0.222863287,0.185,0.16,0.21,2000,0.001364878,0.001364878,0.001364878,54_55:1,54_55:660
55,117.936592,36.99536524,5.21283321,-0.301573575,0.091666667,0.106666667,0.076666667,2000,0.000626181,0.000626181,0.000626181,undefined,undefined
56,111.5357951,37.98724244,5.170580143,-0.244021953,0.0842,0.0802,0.0882,2000,0.001095124,0.001095124,0.001095124,56_57:0.025068232271051177; 56_55:0.018270495216147875,56_57:660; 56_55:660
57,87.43873159,53.21901795,5.258595156,-0.299975957,0.0257,0.0326,0.0188,2000,0.000543019,0.000543019,0.000543019,57_58:0.019918381249357214; 57_32:0.012282246711985828,57_58:660; 57_32:660
58,48.15839571,39.37754226,5.381167832,-0.294759936,0.0565,0.0616,0.0514,2000,0.000942259,0.000942259,0.000942259,58_59:0.032657943928695754,58_59:660
59,48.20852226,56.37984243,5.446731922,-0.297209629,0.0097,0.011,0.0084,2000,0.001033128,0.001033128,0.001033128,59_66:0.044521252632484354,59_66:660
60,120.4650697,139.5901259,5.14036313,-0.30091896,0.012,0.0126,0.0114,2000,0.000479713,0.000479713,0.000479713,60_35:0.014480439063365241; 60_69:0.01591967645539641,60_35:660; 60_69:660
61,104.8433265,136.8135809,5.06549617,-0.303022338,0.0186,0.0248,0.0124,2000,0.000301675,0.000301675,0.000301675,61_73:0.014798454902956337; 61_39:0.009090168232504414,61_73:660; 61_39:660
62,52.39591791,68.31811623,5.316603273,-0.298042466,0.0502,0.0292,0.0712,2000,0.000661115,0.000661115,0.000661115,undefined,undefined
63,111.1760874,114.0855031,5.217370588,-0.300827851,0.1696,0.151,0.1882,2000,0.000569722,0.000569722,0.000569722,63_47:0.018593600159677953; 63_81:0.014798256168294305,63_47:660; 63_81:660
64,33.12221112,88.75763431,5.246091853,-0.300575705,0.08,0.09,0.07,2000,0.004921328,0.004921328,0.004921328,64_85:0.040838640272463894; 64_51:0.1895125065820309,64_85:660; 64_51:660
