Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
67,162.176025,123.5948654,4.91202934,-0.300576427,0.081,0.0926,0.0694,864,0.0004042,0.0004042,0.0004042,67_66:0.032801934623531676; 67_68:0.009950073852630331,67_66:924.4444444444443; 67_68:412.4444444444444
68,95.7251735,71.2376888,5.135553055,-0.304481023,0.0064,0.0078,0.005,864,0.000214291,0.000214291,0.000214291,68_69:0.006746618511014962; 68_55:0.011131534437523738; 68_67:0.009950073852630331,68_69:440.88888888888886; 68_55:433.77777777777777; 68_67:376.88888888888886
69,135.2266554,174.7367036,4.943782231,-0.308276663,0.007,0.009,0.005,864,0.000189468,0.000189468,0.000189468,69_68:0.006746618511014962; 69_70:0.009788310756172397,69_68:476.4444444444444; 69_70:369.77777777777777
70,117.8064123,70.98934752,5.154620644,-0.305064976,0.0054,0.0078,0.003,864,0.000222669,0.000222669,0.000222669,70_69:0.009788310756172397; 70_74:0.021180395344404246,70_69:334.22222222222223; 70_74:817.7777777777777
71,108.9120698,115.7913209,5.118819119,-0.315679854,0.0808,0.0822,0.0794,864,0.000516105,0.000516105,0.000516105,71_58:0.04154171357566433; 71_77:0.01398758642961806,71_58:590.2222222222222; 71_77:462.2222222222222
72,81.27539472,65.24879669,5.14479972,-0.305898545,0.0157,0.0544,0.0072,864,0.000310726,0.000310726,0.000310726,72_81:0.012991722752226487; 72_62:0.014727684650468614,72_81:369.77777777777777; 72_62:341.3333333333333
73,133.5769163,127.0899246,5.018901817,-0.308046488,0.0301,0.0168,0.0434,864,0.000312244,0.000312244,0.000312244,73_85:0.009910219647893764; 73_66:0.046906782250020734,73_85:462.2222222222222; 73_66:540.4444444444445
74,98.7124291,24.2855732,4.874460429,-0.320620025,0.0793,0.089,0.0696,864,0.00084021,0.00084021,0.00084021,74_89:0.0139172564889474; 74_70:0.021180395344404246,74_89:419.55555555555554; 74_70:853.3333333333333
75,122.9245369,146.4327891,5.008018504,-0.307812012,0.0087,0.012,0.0054,864,0.000348398,0.000348398,0.000348398,75_90:0.015442070753228149; 75_76:0.015259865850705573,75_90:448; 75_76:867.5555555555555
76,110.3720002,167.6998702,4.903721901,-0.310168915,0.0041,0.0078,0.0004,864,0.000325334,0.000325334,0.000325334,76_77:0.009605233104992394; 76_75:0.015259865850705573,76_77:405.3333333333333; 76_75:832
77,79.13566815,113.9783325,5.071064064,-0.308013607,0.1315,0.0828,0.1802,864,0.000349313,0.000349313,0.000349313,77_71:0.01398758642961806; 77_76:0.009605233104992394; 77_78:0.015416272740441495,77_71:426.66666666666663; 77_76:369.77777777777777; 77_78:917.3333333333333
78,104.3948024,16.86774495,5.277327024,-0.303604129,0.0029,0.0042,0.0016,864,0.000274569,0.000274569,0.000274569,78_79:0.012278465875487837; 78_77:0.015416272740441495,78_79:640; 78_77:881.7777777777777
79,91.45373219,17.16505837,5.017440563,-0.308015145,0.0188,0.0202,0.0174,864,0.000375373,0.000375373,0.000375373,79_78:0.012278465875487837; 79_80:0.011665247477951418; 79_91:1,79_78:675.5555555555555; 79_80:348.4444444444444; 79_91:440.88888888888886
80,84.04295347,112.3828786,5.081013623,-0.307586586,0.1103,0.101,0.1196,864,0.000237733,0.000237733,0.000237733,80_81:0.008427061663890872; 80_79:0.011665247477951418,80_81:540.4444444444445; 80_79:312.88888888888886
81,121.9132172,138.9903531,4.944632238,-0.309603756,0.0075,0.0102,0.0048,864,0.000174785,0.000174785,0.000174785,81_80:0.008427061663890872; 81_82:0.015668686258571235; 81_72:0.012991722752226487,81_80:576; 81_82:533.3333333333333; 81_72:405.3333333333333
82,88.37972404,32.27833901,5.079907301,-0.307780683,0.0361,0.0406,0.0316,864,0.000593624,0.000593624,0.000593624,82_81:0.015668686258571235; 82_83:0.03793385837319871,82_81:497.77777777777777; 82_83:433.77777777777777
83,98.40313,229.8140588,5.05231358,-0.30814819,0.0249,0.0254,0.0244,864,0.000760253,0.000760253,0.000760253,83_84:0.03498809108145459; 83_92:0.008544305725393553; 83_82:0.03793385837319871,83_84:490.66666666666663; 83_92:440.88888888888886; 83_82:469.3333333333333
84,130.4300625,14.95628376,4.90899421,-0.308973891,0.0023,0.0044,0.0002,864,0.000224724,0.000224724,0.000224724,84_83:0.03498809108145459; 84_85:0.010794595615120611,84_83:526.2222222222222; 84_85:433.77777777777777
85,100.7598005,72.9056338,5.091984619,-0.306928951,0.0028,0.0048,0.0008,864,0.000253576,0.000253576,0.000253576,85_86:0.0455554629531546; 85_73:0.009910219647893764; 85_84:0.010794595615120611,85_86:433.77777777777777; 85_73:426.66666666666663; 85_84:398.2222222222222
86,132.0338372,183.9791917,4.930892438,-0.309019403,0.0071,0.0122,0.002,864,0.000226402,0.000226402,0.000226402,86_85:0.0455554629531546; 86_87:0.010176226861235371,86_85:469.3333333333333; 86_87:661.3333333333333
87,106.1614649,114.4438387,5.195178696,-0.305162273,0.0118,0.0148,0.0088,864,0.000243894,0.000243894,0.000243894,87_93:0.008651845157502752; 87_86:0.010176226861235371; 87_88:0.009564173189738678,87_93:476.4444444444444; 87_86:625.7777777777777; 87_88:426.66666666666663
88,90.75812751,79.64670667,5.097033578,-0.306611007,0.0364,0.0416,0.0312,864,0.000310551,0.000310551,0.000310551,88_89:0.014791325839969616; 88_87:0.009564173189738678,88_89:533.3333333333333; 88_87:462.2222222222222
89,117.5502909,38.07594393,4.957811432,-0.308628822,0.0038,0.0058,0.0018,864,0.000270732,0.000270732,0.000270732,89_88:0.014791325839969616; 89_74:0.0139172564889474,89_88:568.8888888888889; 89_74:384
90,35.09597034,104.543417,5.256409472,-0.303295323,0.0085,0.0136,0.0034,864,0.000389816,0.000389816,0.000389816,90_94:0.012105036093508187; 90_75:0.015442070753228149,90_94:369.77777777777777; 90_75:412.4444444444444
91,92.78371679,12.21609259,5.057571213,-0.307878156,0.162,0.2632,0.0608,864,0.269510188,0.269510188,0.269510188,91_98:1; 91_79:1,91_98:632.8888888888888; 91_79:405.3333333333333
92,95.88421927,132.113972,5.123655429,-0.306256506,0.0058,0.0092,0.0024,864,0.000220423,0.000220423,0.000220423,92_83:0.008544305725393553; 92_102:0.009839432540550364,92_83:405.3333333333333; 92_102:540.4444444444445
93,98.04755874,85.09243643,5.139836113,-0.305746794,0.0095,0.0096,0.0094,864,0.000219142,0.000219142,0.000219142,93_106:0.01828911816037873; 93_87:0.008651845157502752,93_106:440.88888888888886; 93_87:440.88888888888886
94,100.6849696,74.43171878,5.176124856,-0.305233385,0.0157,0.017,0.0144,864,0.000329424,0.000329424,0.000329424,94_90:0.012105036093508187; 94_95:0.010987923121324739,94_90:405.3333333333333; 94_95:398.2222222222222
